name,brand,model,size,length_mm,width_mm,height_mm,weight_g,shape,hand,hump_placement,front_flare,side_curvature,sensor,sensor_type,sensor_position,max_dpi,polling_rate_hz,side_buttons,switches,material,connectivity
Redragon M618 LIT,Redragon,M618 LIT,Medium,121.9,69.1,39.9,70.0,Symmetrical,Right,Back - minimal,Outward - slight,Flat,SG 8925,Optical,Centered (52%),10000,1000.0,2,Huano Blue Shell Blue Dot,Plastic,Wireless
Redragon M618 Wired,Redragon,M618 Wired,Medium,121.9,69.1,39.9,84.0,Symmetrical,Right,Back - minimal,Outward - slight,Flat,SG 8925,Optical,Centered (52%),10000,1000.0,2,Huano Blue Shell Blue Dot,Plastic,Wired
EWEADN S9 V2 Ultra,EWEADN,S9 V2 Ultra,Large,127.0,64.8,40.5,60.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,PixArt PAW3950,Optical,Centered (52%),42000,8000.0,2,Kailh Optical V2,Plastic,Wireless
EWEADN S9 V2 Pro,EWEADN,S9 V2 Pro,Large,127.0,64.8,40.5,60.0,Symmetrical,Right,Back - minimal,Outward - slight,Inward,PixArt PAW3395,Optical,Centered (52%),30000,8000.0,2,Kailh Optical V2,Plastic,Wireless
Redragon M995 LIT,Redragon,M995 LIT,Large,126.0,63.8,39.9,59.0,Symmetrical,Right,Back - minimal,Outward - slight,Flat,SG 8925,Optical,Forward (60%),10000,1000.0,2,Huano Blue Shell Blue Dot,Plastic,Wireless
Flickshot Evora Pro Fingertip LHD,Flickshot,Evora Pro Fingertip LHD,Fingertip,89.8,68.4,43.0,26.0,Ergonomic,Left,Back - aggressive,Outward - aggressive,Flat,PixArt PAW3950,Optical,Backward (38%),30000,8000.0,2,Omron Optical,Plastic,Wireless
Flickshot Evora Pro Fingertip,Flickshot,Evora Pro Fingertip,Fingertip,89.8,68.4,43.0,26.0,Ergonomic,Right,Back - aggressive,Outward - aggressive,Flat,PixArt PAW3950,Optical,Backward (38%),30000,8000.0,2,Omron Optical,Plastic,Wireless
Flickshot One Pro Small Fingertip LHD,Flickshot,One Pro Small Fingertip LHD,Fingertip,85.3,57.0,36.3,26.0,Symmetrical,Left,Back - aggressive,Flat,Flat,PixArt PAW3950,Optical,Backward (39%),30000,8000.0,2,Omron Optical,Plastic,Wireless
Flickshot One Pro Small Fingertip,Flickshot,One Pro Small Fingertip,Fingertip,85.3,57.0,36.3,26.0,Symmetrical,Right,Back - aggressive,Flat,Flat,PixArt PAW3950,Optical,Backward (39%),30000,8000.0,2,Omron Optical,Plastic,Wireless
Kreo Chimera v2,Kreo,Chimera v2,Medium,119.0,63.7,39.0,78.0,Symmetrical,Right,Center,Outward - slight,Inward,PixArt PAW3311,Optical,Centered (51%),12000,1000.0,2,Huano Blue Shell Blue Dot,Plastic,Wireless
Kreo Anzu,Kreo,Anzu,Medium,122.2,63.9,39.1,52.0,Ergonomic,Right,Center,Outward - slight,Flat,PixArt PAW3311,Optical,Forward (55%),12000,1000.0,2,Huano Transparent Blue Shell Pink Dot,Plastic,Wireless
